Date,SPX,GS1M
,,
1/1/2014,1782.589966,0.02
,,
1/2/2014,1859.449951,0.05
,,
1/3/2014,1872.339966,0.05
,,
1/4/2014,1883.949951,0.02
,,
1/5/2014,1923.569946,0.03
,,
1/6/2014,1960.22998,0.02
,,
1/7/2014,1930.670044,0.02
,,
1/8/2014,2003.369995,0.03
,,
1/9/2014,1972.290039,0.01
,,
1/10/2014,2018.050049,0.02
,,
1/11/2014,2067.560059,0.04
,,
1/12/2014,2058.899902,0.03
,,
1/1/2015,1994.98999,0.02
,,
1/2/2015,2104.5,0.02
,,
1/3/2015,2067.889893,0.02
,,
1/4/2015,2085.51001,0.02
,,
1/5/2015,2107.389893,0.01
,,
1/6/2015,2063.110107,0.01
,,
1/7/2015,2103.840088,0.03
,,
1/8/2015,1972.180054,0.04
,,
1/9/2015,1920.030029,0.01
,,
1/10/2015,2079.360107,0.01
,,
1/11/2015,2080.409912,0.07
,,
1/12/2015,2043.939941,0.17
,,
1/1/2016,1940.23999,0.23
,,
1/2/2016,1932.22998,0.26
,,
1/3/2016,2059.73999,0.25
,,
1/4/2016,2065.300049,0.19
,,
1/5/2016,2096.949951,0.23
,,
1/6/2016,2098.860107,0.22
,,
1/7/2016,2173.600098,0.26
,,
1/8/2016,2170.949951,0.26
,,
1/9/2016,2168.27002,0.19
,,
1/10/2016,2126.149902,0.24
,,
1/11/2016,2198.810059,0.3
,,
1/12/2016,2238.830078,0.42
,,
1/1/2017,2278.870117,0.5
,,
1/2/2017,2363.639893,0.48
,,
1/3/2017,2362.719971,0.66
,,
1/4/2017,2384.199951,0.75
,,
1/5/2017,2411.800049,0.73
,,
1/6/2017,2423.409912,0.84
,,
1/7/2017,2470.300049,0.97
,,
1/8/2017,2471.649902,0.98
,,
1/9/2017,2519.360107,0.99
,,
1/10/2017,2575.26001,1
,,
1/11/2017,2647.580078,1.09
,,
1/12/2017,2673.610107,1.2
,,
1/1/2018,2823.810059,1.3
,,
1/2/2018,2713.830078,1.38
,,
1/3/2018,2640.870117,1.64
,,
1/4/2018,2648.050049,1.66
,,
1/5/2018,2705.27002,1.71
,,
1/6/2018,2718.370117,1.81
,,
1/7/2018,2816.290039,1.89
,,
1/8/2018,2901.52002,1.94
,,
1/9/2018,2913.97998,2.04
,,
1/10/2018,2711.73999,2.17
,,
1/11/2018,2760.169922,2.24
,,
1/12/2018,2506.850098,2.37
,,
1/1/2019,2704.100098,2.4
,,
1/2/2019,2784.48999,2.43
,,
1/3/2019,2834.399902,2.45
,,
1/4/2019,2945.830078,2.43
,,
1/5/2019,2752.060059,2.4
,,
1/6/2019,2941.76001,2.22
,,
1/7/2019,2980.379883,2.15
,,
1/8/2019,2926.459961,2.07
,,
1/9/2019,2976.73999,1.99
,,
1/10/2019,3037.560059,1.73
,,
1/11/2019,3140.97998,1.58
,,
1/12/2019,3230.780029,1.55
,,
1/1/2020,3225.52002,1.53
,,
1/2/2020,2954.219971,1.58
,,
1/3/2020,2584.590088,0.37
,,
1/4/2020,2912.429932,0.11
,,
1/5/2020,3044.310059,0.1
,,
1/6/2020,3100.290039,0.13
,,
1/7/2020,3271.120117,0.11
,,
1/8/2020,3500.310059,0.08
,,
1/9/2020,3363,0.09
,,
1/10/2020,3269.959961,0.09
,,
1/11/2020,3621.629883,0.09
,,
1/12/2020,3756.070068,0.08
,,
1/1/2021,3714.23999,0.08
,,
1/2/2021,3811.149902,0.04
,,
1/3/2021,3972.889893,0.02
,,
1/4/2021,4181.169922,0.02
,,
1/5/2021,4204.109863,0.01
,,
1/6/2021,4297.5,0.03
,,
1/7/2021,4395.259766,0.05
,,
1/8/2021,4522.680176,0.04
,,
1/9/2021,4307.540039,0.05
,,
1/10/2021,4605.379883,0.06
,,
1/11/2021,4567,0.07
,,
1/12/2021,4766.180176,0.04
,,
1/1/2022,4515.549805,0.05
,,
1/2/2022,4373.939941,0.04
,,
1/3/2022,4530.410156,0.18
,,
1/4/2022,4131.930176,0.31
,,
1/5/2022,4132.149902,0.58
,,
1/6/2022,3785.379883,1.06
,,
1/7/2022,4130.290039,1.85
,,
1/8/2022,3955,2.28
,,
1/9/2022,3585.620117,2.61
,,
1/10/2022,3871.97998,3.32
,,
1/11/2022,4080.110107,3.87
,,
1/12/2022,3839.5,3.9
,,
1/1/2023,4076.600098,4.52
,,
1/2/2023,3970.149902,4.64
,,
1/3/2023,4109.310059,4.49
,,
1/4/2023,4169.47998,4.17
,,
1/5/2023,4179.830078,5.49
,,
1/6/2023,4450.379883,5.2
,,
1/7/2023,4588.959961,5.39
,,
1/8/2023,4507.660156,5.54
,,
1/9/2023,4288.049805,5.53
,,
1/10/2023,4193.799805,5.57
,,
1/11/2023,4567.799805,5.53
,,
1/12/2023,4769.830078,5.54
